et	de	en	lt	lv
"4. Tõhus ja kiire teenus Paljud kliendid ootavad ka lisaväärtust, näiteks abivalmidust, lisateenuste pakkumist (kriuksuvate uksehingede õlitamine) või asjatundlike näpunäidete jagamist mägedes sõitmise kohta."	"4. Effizienter und schneller Service Viele Kunden erwarten auch „ein kleines Extra“, wie etwa Hilfsbereitschaft oder Sonderleistungen wie das Ölen quietschender Türscharniere oder professionelle Tipps zum Fahren im Gebirge."	"4. Efficient and speedy service Many customers also expect ""something extra"", such as being helpful, providing extra services such as oiling squeaky door hinges, or giving professional tips on driving in the mountains."	"4. Efektyvi ir greita techninė priežiūra Be to, daugelis klientų tikisi „kažko daugiau“: paslaugumo, papildomų paslaugų teikimo, pavyzdžiui, girgždančių durų lankstų sutepimo arba profesionalių patarimų vairuojant kalnuose."	"4. Efektīva un ātri veikta apkope Daudzi klienti arī sagaida vēl papildu attieksmi - izpalīdzību, papildu pakalpojumus, piemēram, čīkstošu durvju eņģu ieeļļošana, vai profesionālus padomus par braukšanu kalnainos apvidos."
4. Plastiline ala Poldi pöörlemisnurk muutub ja poldi aksiaalpinge jääb enam-vähem konstantseks.	"4. Plastischer Bereich: Der Drehwinkel der Schraube ändert sich, die axiale Spannung der Schraube bleibt mehr oder weniger gleich."	4. Plastic region: The rotational angle of the bolt changes and the axial tension of the bolt remains more or less constant.	"4. Plastikinis: varžto sukimosi kampas keičiasi, o ašių įtempimas išlieka daugmaž vienodas."	"4. Plastiskā zona: Skrūves rotācijas leņķis mainās, un skrūves aksiālā stiepe paliek vairāk vai mazāk nemainīga."
4. Aeg aastates	4. Zeit in Jahren	4. Time in years	4. Laikas metais	4. Laiks gados
"5. Lõpuks kasutage mutrivõtit, et kontrollida pöördejõua pingutust."	"5. Verwenden Sie am Ende einen DDrehmomentschlüssel, um das befestigende Drehmoment zu prüfen."	"5. At the end, use a torque wrench to check the tightening torque."	"5. Baigdami panaudokite dinamometrinį raktą, kad patikrintumėte užveržimo sukimo momentą."	"5. Beigās izmantojiet dinamometrisko atslēgu, lai pārbaudītu pievilkšanas spēku."
5. Tagapiduri ketta sisediameeter.	5. Inneres Diameter der hinteren Bremsscheibe.	5. Inner diameter of the rear brake disc.	5. Vidinis galinių stabdžių disko skersmuo	5. Aizmugurējā bremžu diska iekšējais diametrs.
5. Madala kütusetaseme hoiatustuli	5. Warnleuchte für niedrigen Kraftstoffstand	5. Low fuel level warning light	5. Įspėjimo apie žemą degalų lygį lemputė	5. Zema degvielas līmeņa brīdinājuma lampiņa
5. Nimipikkus	5. Nennlänge	5. Nominal length	5. Nominalusis ilgis	5. Nominālais garums
5. Jahutusvedeliku uus täide	5. Kühlmittel auffüllen	5. Refill coolant	5. Pripildykite aušalo	5. Atkārtoti iepildiet dzesēšanas šķidrumu
"6. Laske pidur korduvalt vabaks ja kontrollige, kas pidurivedeliku tase on joonel MAX."	"6. Drücken Sie das Bremspedal mehrmals herunter und stellen Sie sicher, dass die Bremsflüssigkeit bis zur Linie „MAX“ gefüllt ist."	6. Depress the brake pedal several times and check that the brake fluid level is at the “MAX” line.	"6. Keletą kartų nuspauskite stabdžių pedalą ir patikrinkite, ar stabdžių skysčio lygis siekia žymą „MAX“."	"6. Nospiediet bremžu pedāli vairākas reizes un pārbaudiet, vai bremžu šķidruma līmenis atbilst ""MAX"" atzīmei."
6. Madala mootoriõlirõhu hoiatustuli	6. Warnleuchte für niedrigen Druck des Motoröls	6. Low engine oil pressure warning light	6. Žemo variklio alyvos slėgio įspėjimo lemputė	6. Zema dzinēja eļļas spiediena brīdinājuma lampiņa
7. Tagumise piduriketta ja tagumise piduriketta nihiku paigaldamine.	7. Installation der hinteren Scheibenbremse und des hinteren Scheibenbremssattels.	7. Installation of the rear brake discs and rear disc brake caliper.	7. Galinių stabdžių diskų ir galinių diskų stabdžių vidmačių tvirtinimas.	7. Aizmugurējo bremžu disku un aizmugurējo disku bremžu skavas uzstādīšana.
Mõlkis amortisaator ei mõjuta vedrustussüsteemi.	Beulen im Stoßdämpfer haben keinen Einfluss auf das Federungssystem.	A dented shock absorber does not influence the suspension system.	Įlenktas amortizatorius nedaro poveikio pakabos sistemai.	"Amortizators, kurā ir iespiedumi, neietekmē piekares sistēmu."
mahuti kaanele kinnitatud õlimõõtevarras või	ein an der Abdeckung des Behälters angebrachter Ölpeilstab oder	a dipstick attached to the reservoir cover or	lygio matuoklis pritvirtintas prie rezervuaro dangtelio arba	"mērstieni, kas pievienots tvertnes vāciņam, vai"
A mikromeeter on saadaval kolmes vahemikus:	Ein Mikrometer ist in 3 Spektren erhältlich:	A Micrometer is available in 3 ranges:	Yra trijų skalių mikrometrai:	Ir pieejami mikrometri ar 3 mērījumu intervāliem:
Tugevasti kinni keeratud mutri või poldi lahtikeeramiseks tuleb neile peale suruda.	Eine fest zugedrehte Mutter oder Schraube kann ganz leicht unter Anwendung eines Stoßes gelöst werden.	"A nut or bolt, which has been firmly tightened, can be loosened easily by the application of impact."	Stipriai užveržtą veržlę arba varžtą galima lengvai atlaisvinti pneumatiniu raktu.	"Uzgriezni vai skrūvi, kas ir stingri pievilkta, var viegli atlaist vaļīgāk, pielietojot triecienu."
Koonusjal rull-laagril on eelpingutuse seadistus.	Für das Kegelrollenlager wird eine Federvorspannung durchgeführt.	A preload adjustment is performed for the tapered roller bearing.	Atliekamas kūginio ritininio guolio pradinio įveržimo reguliavimas 	Koniskajam rullīšu gultnim veic priekšsprieguma regulēšanu.
"Hooldus tuleb läbi viia, kui kindlaks määratud kilometraaž on saavutatud."	"Eine Service muss erbracht werden, wenn ein festgelegter Kilometerstand erreicht ist."	A service must be performed when a stated mileage has been reached.	Techninę priežiūrą reikia atlikti pasiekus nustatytą kilometražą.	"Apkope jāveic, kad ir sasniegts noteikts nobraukums."
"Hooldus on nõutav, kui määratud ajaperiood on möödunud ja määratud läbisõit on saavutatud."	"Eine Service muss erbracht werden, wenn ein festgelegter Zeitraum verstrichen und ein festgelegter Kilometerstand erreicht ist."	A service must be performed when a stated time period has elapsed and a stated mileage has been reached.	Techninę priežiūrą reikia atlikti praėjus nustatytam laikotarpiui ir pasiekus nustatytą kilometrų skaičių.	"Apkope ir jāveic, kad ir aizritējis noteikts laika posms un ir sasniegts noteikts nobraukums."
Määratud ajavahemiku möödumisel tuleb läbi viia hooldustööd.	"Eine Service muss erbracht werden, wenn ein festgelegter Zeitraum verstrichen ist."	A service must be performed when a stated time period has elapsed.	Techninę priežiūrą reikia atlikti praėjus nustatytam laikotarpiui.	"Apkope jāveic, kad ir aizritējis noteikts laika posms."
Sõiduk koosneb paljudest osadest.	Ein Fahrzeug enthält viele Teile.	A vehicle contains a large number of parts.	Automobilis yra sudarytas iš daugybės detalių.	Transportlīdzeklim ir daudz detaļu.
A/C filtri puhastamine/asendamine	A/C-Filter reinigen/austauschen	A/C Filter Clean/Replace	Kondicionieriaus filtro valymas / keitimas	A/C filtra tīrīšana/nomaiņa
Konditsioneeri filter Puhastus/Vahetus Olenevalt sõiduki tüübist on juurdepääs filtrile juhiistme kaudu.	A/C-Filter reinigen/austauschen Je nach Fahrzeugtyp kann der Zugang zum Filter der Klimaanlage über den Fahrersitz erreicht werden.	"A/C Filter Clean/Replace Depending on the vehicle type, access to the filter of the airco system is reachable via the driver’s seat."	"Oro kondicionieriaus filtro valymas / keitimas Priklausomai nuo automobilio tipo, oro kondicionavimo sistemos filtrą galite pasiekti per vairuotojo sėdynę."	A/C filtra tīrīšana/nomaiņa Atkarībā no transportlīdzekļa veida gaisa kondicionēšanas sistēmas filtram var piekļūt no vadītāja sēdekļa puses.
A/C (kliimaseadme) filtri asendamine	A/C-Filter austauschen	A/C filter replace	Kondicionieriaus filtro keitimas	A/C filtra nomaiņa
A/C (kliimaseadme) filtri asendamine	A/C-Filter austauschen	A/C Filter Replace	Kondicionieriaus filtro keitimas	A/C filtra nomaiņa
A/T vedelik	A/T-Flüssigkeit	A/T Fluid	Perkaitęs skystis	A/T šķidrums
A/T õli	A/T Öl	A/T Oil	Perkaitusi alyva	A/T eļļa
A/T õli	A/T Öl	A/T oil	Perkaitusi alyva	A/T eļļa
A/T õli kontrollimine või vahetamine	A/T Ölinspektion oder -austausch	A/T Oil Inspection or Replacement	Perkaitusios alyvos tikrinimas arba keitimas	A/T eļļas pārbaude un nomaiņa
A: Bensiinimootori õlid B: Kergekoormadiiselmootori õlid C: Katalüüsivõimelised õlid (bensiin ja diisel) E: Raskekoormadiiselmootori õlid	A: Benzinmotoröle B: Öle des leichten Dieselmotors C: Mit dem Katalysator kompatible Öle (Benzin und Diesel) E: Öle des Hochleistungs-Dieselmotors	A: Gasoline engine oils B: Light duty diesel engine oils C: Catalyst compatible oils (gasoline and diesel) E: Heavy duty diesel engine oils	A: Benzininio variklio alyvos B: Lengvam darbui pritaikytų dyzelinių variklių alyvos C: Katalizatoriui tinkančios alyvos (benzininiams ir dyzeliniams varikliams) E: Intensyviam darbui pritaikytų dyzelinių variklių alyvos	A: Benzīna dzinēju eļļas B: Mazjaudas dīzeļdzinēju eļļas C: Ar katalizatoriem saderīgas eļļas (benzīna dzinējiem un dīzeļdzinējiem) E: Lieljaudas dīzeļdzinēju eļļas
Ebanormaalne mootori hääl	Unnormales Motor-Geräusch	Abnormal engine noise	Neįprastas variklio triukšmas	Neparasts dzinēja troksnis
Ebanormaalne hääl	Unnormales Geräusch	Abnormal noise	Neįprastas triukšmas	Pārmērīgs troksnis
"Tegevused: plaanimine, disainimine, sõiduki hindamine, prototüübid jne."	"Leistungen: Planung, Design, Fahrzeugevaluation, Prototypen usw."	"Activities: Planning, design, vehicle evaluation, prototypes, etc."	"Veiklos: planavimas, konstravimas, transporto priemonės vertinimas, prototipai ir t. t."	"Darbība: plānošana, dizains, transportlīdzekļu novērtēšana, prototipi utt."
Tegevused: Uurimused ja kompleksne edasiarendus	Leistungen: Forschung und fortgeschrittene Entwicklung.	Activities: Research and advanced development	Veikla: Moksliniai tyrimai ir pažangi taikomoji veikla	Darbība: pētniecība un progresīvā attīstība
Lisage mootori jahutusvedelik radiaatorisse ja mahutisse vastavalt iga auto täpsustusele.	Geben Sie das Kühlmittel für den Motor entsprechend der Vorgaben für jedes Auto in den Kühler und in den Vorratsbehälter.	Add engine coolant to the radiator and reservoir tank according to the specifications for each car.	"Įpilkite variklio aušalo į radiatorių ir rezervuaro baką, atsižvelgdami į automobilio charakteristikas."	Papildiniet dzinēja dzesēšanas šķidrumu radiatorā un rezervuāra tvertnē saskaņā ar katram automobilim piemērojamām specifikācijām.
Peale täitmist kontrollige õlitaset vastavalt kirjeldatud tingimustele.	Überprüfen Sie nach der Verfüllung den Ölstand nach den vorgeschriebenen Bedingungen.	"After filling, check the oil level according to the conditions prescribed."	"Pripylę alyvos, patikrinkite jos lygį, atsižvelgdami į nurodytas sąlygas."	Pēc uzpildes pārbaudiet eļļas līmeni atbilstoši noteiktajiem nosacījumiem.
Pärast ülevaatust vabastage regulaator.	Entsperren Sie nach der Inspektion den Einsteller.	"After the inspection, unlock the adjuster."	Po patikros atrakinkite derintuvą.	Pēc pārbaudes atbloķējiet regulētāju.
"Hiljem helistab teeninduskonsultant kliendile ja teatab, et sõiduk on äraviimiseks valmis."	"Anschließend ruft der Serviceberater den Kunden an und sagt ihm, dass sein Fahrzeug geliefert werden kann."	Afterwards the service advisor rings up the customer and reports the vehicle is ready to deliver.	"Tada techninės priežiūros patarėjas paskambina klientui ir praneša, kad transporto priemonę galima pasiimti."	"Pēc tam apkopes konsultants piezvana klientam un informē viņu, ka transportlīdzeklis ir gatavs saņemšanai."
Õhupuhasti	Luftreinigereinsatz	Air Cleaner Element	Oro filtro elementas	Gaisa filtra elements
"Õhupuhasti. Õhupuhasti eemaldab tolmu, liiva jm, et puhastada mootorisse sisenevat õhku."	"Luftreinigereinsatz Der Luftreinigereinsatz entfernt Staub, sand usw., um den Einlass von Luft in den Motor zu reinigen."	"Air Cleaner Element The air cleaner element removes dust, sand, etc. to clean the intake air to the engine."	"Oro filtro elementas Oro filtro elementas pašalina dulkes, smėlį ir kt., kad išvalytų į variklį patenkantį orą."	"Gaisa filtra elements Gaisa filtra elements aiztur putekļus, smiltis u. c., attīrot dzinēja ieplūdes gaisu."
Õhuvoolud pordist B	Luftflüsse aus Durchlassöffnung B	Air flows from port B	Oras pučiamas iš B angos	Gaisa plūsma no B atveres
Õhk-padrunvõti	Luftratschenschlüssel	Air Ratchet Wrench	Pneumatinis reketinis raktas	Pneimatiskā sprūdatslēga
Õhutööriistad	Luftwerkzeuge	Air Tools	Pneumatiniai įrankiai	Pneimatiskie instrumenti
Kõik elektriühendused on õigesti ühendatud.	Alle elektrischen Verbindungen sind ordnungsgemäß verbunden.	All electrical connections are properly connected.	Visos elektros jungtys tinkamai sujungtos.	Visi elektropieslēgumi ir veikti pareizi.
Võtmekomplekti kõik osad on kohandatud nelikantühenduse suurusega.	Alle Teile des Schraubenschlüsselsets sind an die Größe des Vierkantantriebs des Steckers angepasst. 	All parts of the wrench set are adapted to the size of the socket square drive.	Visos rakto dalys pritaikytos lizdiniam kvadratiniam atsuktuvui.	Visas galatslēgu komplekta daļas ir pielāgotas galatslēgu četrstūra uzgalim.
võimaldab kiiret tööd käepideme tõstmisel.	"erlaubt schnelles arbeiten, indem der Griff eingestellt wird."	"allows for quick work, with setting up the handle."	leidžia greitai dirbti nustačius rankeną.	"ļauj ātri veikt darbu, attiecīgi izvēloties roktura pozīciju."
Samuti kontrollige vaakumklapi roostet ja kleepumist.	Inspizieren Sie das Vakuumventil auch nahc Rost oder Verstopfungen.	Also inspect the vacuum valve for rust or sticking.	"Apžiūrėkite, ar vakuuminiame vožtuve nėra rūdžių ir ar jis nelimpa."	"Pārbaudiet arī, vai uz vakuumvārsta nav rūsas vai pielipušu netīrumu."
"Samuti tuleb kontrollida, et lampides ei oleks tolmu ega vett."	Suchen Sie auch nach Schmutz oder Wasser in der Lampe.	"Also, check for dirt or water inside the light."	"Be to, patikrinkite, ar žibinto viduje nėra purvo ir vandens."	"Pārbaudie arī, vai luktura iekšpusē nav netīrumu vai ūdens."
Paigaldage mutter poldile alati esmalt käega.	Passen Sie die Mutter immer zuerst von Hand an die Schraube ein.	Always fit the nut to the screw by hand first.	Visada pirmiausia užsukite veržlę ant varžto ranka.	Vienmēr vispirms pielāgojiet uzgriezni skrūvei ar roku.
Teritage tera alati kvartskiviga.	Schärfen Sie das Blatt immer an einem Ölstein.	Always sharpen the blade on an oilstone.	Geležtei galąsti visuomet naudokite galąstuvą.	"Asmeni vienmēr asiniet, izmantojot galodu."
"Keerake tööriist alati nii, et peate seda tõmbama."	"Drehen Sie das Werkzeug immer so, dass Sie es ziehen."	Always turn the tool so that you are pulling it.	"Visuomet sukite įrankį taip, kad jį trauktumėte."	"Vienmēr pagrieziet instrumentu tā, lai jūs to izvilktu."
Automaatkäigukast ei tarbi ATF-i.	Ein Automatikgetriebe läuft nicht mit ATF.	An automatic transmission does not consume ATF.	Automatinė transmisija nenaudoja ATF.	Automātiskā transmisija nepatērē ATF.
